algoritmo,caso,tamanho,repeticao,tempo_execucao,cpu_pico,comparacoes,trocas,heapificacoes,profundidade_recursao,particoes
heap_sort,melhor,262144,9,1.0880886999657378,1.09375,8849195,4664612,4795684.0,0,
heap_sort,melhor,262144,10,1.0930074999923818,1.078125,8849195,4664612,4795684.0,0,
heap_sort,melhor,262144,11,1.0647208000300452,1.0625,8849195,4664612,4795684.0,0,
heap_sort,melhor,262144,12,1.030301600054372,1.015625,8849195,4664612,4795684.0,0,
heap_sort,melhor,262144,13,1.011666400008835,0.984375,8849195,4664612,4795684.0,0,
heap_sort,melhor,262144,14,1.0589419000316411,1.0625,8849195,4664612,4795684.0,0,
heap_sort,melhor,262144,15,1.0363578000105915,0.984375,8849195,4664612,4795684.0,0,
heap_sort,melhor,1048576,1,5.600429300044198,5.5625,39624024,20803884,21328172.0,0,
heap_sort,melhor,1048576,2,6.176269899995532,6.15625,39624024,20803884,21328172.0,0,
heap_sort,melhor,1048576,3,7.14118989999406,7.03125,39624024,20803884,21328172.0,0,
heap_sort,melhor,1048576,4,6.500651799957268,6.4375,39624024,20803884,21328172.0,0,
heap_sort,melhor,1048576,5,6.926741299976129,6.875,39624024,20803884,21328172.0,0,
heap_sort,melhor,1048576,6,6.70955920004053,6.65625,39624024,20803884,21328172.0,0,
heap_sort,melhor,1048576,7,6.806394500017632,6.75,39624024,20803884,21328172.0,0,
heap_sort,melhor,1048576,8,6.52355720003834,6.5,39624024,20803884,21328172.0,0,
heap_sort,melhor,1048576,9,6.086616099986713,6.078125,39624024,20803884,21328172.0,0,
heap_sort,melhor,1048576,10,5.864550300000701,5.859375,39624024,20803884,21328172.0,0,
heap_sort,melhor,1048576,11,6.257733199978247,6.203125,39624024,20803884,21328172.0,0,
heap_sort,melhor,1048576,12,6.478841500007547,6.390625,39624024,20803884,21328172.0,0,
heap_sort,melhor,1048576,13,6.678677799995057,6.609375,39624024,20803884,21328172.0,0,
heap_sort,melhor,1048576,14,6.008404499967583,6.0,39624024,20803884,21328172.0,0,
heap_sort,melhor,1048576,15,6.019403000012972,5.984375,39624024,20803884,21328172.0,0,
heap_sort,pior,1,1,1.1599971912801266e-05,0.0,0,0,0.0,0,
heap_sort,pior,1,2,7.099995855242014e-06,0.0,0,0,0.0,0,
heap_sort,pior,1,3,6.799993570894003e-06,0.0,0,0,0.0,0,
heap_sort,pior,1,4,9.100011084228754e-06,0.0,0,0,0.0,0,
heap_sort,pior,1,5,1.0400020983070137e-05,0.0,0,0,0.0,0,
heap_sort,pior,1,6,6.89999433234334e-06,0.0,0,0,0.0,0,
heap_sort,pior,1,7,1.1399970389902592e-05,0.0,0,0,0.0,0,
heap_sort,pior,1,8,9.499955922365189e-06,0.0,0,0,0.0,0,
heap_sort,pior,1,9,2.5800021830946207e-05,0.0,0,0,0.0,0,
heap_sort,pior,1,10,1.1499971151351929e-05,0.0,0,0,0.0,0,
heap_sort,pior,1,11,1.0800024028867485e-05,0.0,0,0,0.0,0,
heap_sort,pior,1,12,1.0600022505968807e-05,0.0,0,0,0.0,0,
heap_sort,pior,1,13,1.1399970389902592e-05,0.0,0,0,0.0,0,
heap_sort,pior,1,14,8.000002708286047e-06,0.0,0,0,0.0,0,
heap_sort,pior,1,15,1.260003773495555e-05,0.0,0,0,0.0,0,
heap_sort,pior,4,1,2.039998071268201e-05,0.0,6,4,6.0,0,
heap_sort,pior,4,2,1.580000389367342e-05,0.0,6,4,6.0,0,
heap_sort,pior,4,3,3.71999922208488e-05,0.0,6,4,6.0,0,
heap_sort,pior,4,4,1.3000040780752896e-05,0.0,6,4,6.0,0,
heap_sort,pior,4,5,9.7999582067132e-06,0.0,6,4,6.0,0,
heap_sort,pior,4,6,7.299997378140688e-06,0.0,6,4,6.0,0,
heap_sort,pior,4,7,6.700051017105579e-06,0.0,6,4,6.0,0,
heap_sort,pior,4,8,1.2500036973506212e-05,0.0,6,4,6.0,0,
heap_sort,pior,4,9,1.179997343569994e-05,0.0,6,4,6.0,0,
